voltage,dQdV
2.011768636238652,-6.60204162420888
2.0609088970401563,-6.582931522786055
2.1100491578416607,-6.5638214213632295
2.159189418643165,-6.544711319940461
2.2083296794446694,-6.525601218517636
2.2574699402461738,-6.506491117094811
2.306610201047678,-6.487381015672042
2.3557473031547325,-4.72151288337119
2.404886379445818,-4.047368520369105
2.4540266402473225,-4.028258418946336
2.503166901048827,-4.009148317523511
2.5523071618503312,-3.990038216100686
2.6014470842202875,-3.7837754685122604
2.6505854272430187,-2.704133705484935
2.6997267033391674,-3.2464815425586835
2.7488667385196397,-3.102603010358905
2.798008296642079,-3.8009113859038735
2.847149911169776,-4.530411869143165
2.8993891766417303,-7.972422988126141
2.9426158964889932,-8.3167846243648
2.9945589612806174,2.0148768355296625
3.0436992220821217,2.0339869369524877
3.092839482883626,2.053097038375313
3.1419797436851304,2.0722071397980812
3.191120004486635,2.0913172412209065
3.240259926856591,2.2975799888092183
3.2893895270643263,8.211998444445555
3.3119769254733287,25.505678266049074
3.3271330329584856,44.17823897451552
3.339755386951204,64.0164810010682
3.349846097154643,83.85373849948064
3.367523299913291,108.36061296722016
3.392789104930306,136.37043855806013
3.4130127194003377,152.71163663035395
3.4433629090274893,169.056772815209
3.4889008516871645,186.57448201513222
3.5319198087765056,197.0912116095559
3.5850674507261244,206.445213470314
3.6255779707609204,204.12763422810536
3.6382847128799485,177.2992424055961
3.645919728607786,155.13554491171243
2.982934962774287,-14.288949163889527
3.0183885243399966,-20.10849500105843
3.056386387913932,-32.92705138744617
3.0842576763307474,-45.74954588639531
3.1146669376463163,-62.07105339588378
3.1450804183682006,-80.72589259782507
3.1628356801436848,-99.38565444046804
3.1729939008481707,-116.88170402130521
3.190738614107866,-129.7081366328153
3.238852504323133,-136.6894256755093
3.286943187803665,-130.83739040971142
3.3147575142352217,-112.15990706054362
3.3349790190020956,-94.65204314202305
3.342533866009939,-72.48243847929785
3.355164658815289,-57.31085983765132
3.3753946023947936,-44.46965930403718
3.3956245459742993,-31.62845877042281
3.428508489093889,-16.449003903654045
