voltage,dQdV
2.0117654437933226,-4.289827921176823
2.0609057391519725,-4.289827921176823
2.110046034510622,-4.289827921176823
2.159186329869272,-4.289827921176823
2.2083266252279214,-4.289827921176823
2.257467765961558,-4.757320288648373
2.30660603242024,-3.6353386067166866
2.3557440734455932,-2.3886922934592008
2.404881916850819,-1.0327620501434467
2.454023266183478,-1.6156096771209718
2.5031635615421277,-1.6156096771209718
2.552303406034118,-1.3662804144693723
2.601443211002083,-1.0950943658062329
2.650583765462677,-1.2383777407715115
2.6997230068473175,-0.6555301137939296
2.748862242376547,-0.06944444444434339
2.7980011961141145,0.6724720140626346
2.8506394276517755,-12.251049793896073
2.874762473782398,0.8525881210102284
2.92293322942906,-37.575284485151315
2.940358465343578,0.8525881210102284
2.972714715731496,-62.570543065963534
3.021822087577039,-85.19717365158658
2.994562051841468,0.8525881210102284
3.057672816605007,-106.48365945045794
3.0437023472001177,0.8525881210102284
3.0751895220930514,-118.63846100471824
3.0928424734837705,0.946086594504493
3.0926377017042777,-133.73178601165705
3.141978541967488,3.2835484318623003
3.1353471680596696,-159.15001387732445
3.186980219542786,-178.47748404107688
3.191105480401353,10.669927837912837
3.2249258620775465,-163.87613909704874
3.2379874283407464,24.327717353594153
3.24721508941652,-137.73552421593115
3.2602771051374204,50.219782126006066
3.2650401168857175,-113.30904801554266
3.269909138657307,76.27469007308719
3.278774304347877,114.67139652141731
3.275828961536975,96.50152650568964
3.28063722902621,-92.05372837450284
3.2978119539097155,168.90674437968352
3.287807505700242,142.78327088537327
3.3183860557481974,196.47009436580618
3.2962293816334487,-68.05578684429645
3.3162950332353134,-47.486122675548245
3.345293889124569,-26.145096100471847
3.3687188484806954,195.89404662781027
3.4128020513847455,192.4661740216489
3.4543593089619407,185.8860671662503
3.5035057151740636,182.50676519566986
3.552655338202693,177.34856369691875
3.6018072711910256,170.91295448237537
3.637551900754294,167.46613932833714
3.843649248867856,-165.20070080488483
3.8436901650171973,-187.827331390508
3.8437310811665384,-210.45396197613104
3.8437719973158795,-233.0805925617542
3.8438129134652206,-255.70722314737725
3.8438538296145617,-278.3338537330003
3.8438947457639028,-300.96048431862346
3.842075766495279,-324.4052265473217
3.850290923358816,-338.2897498612267
3.8878289589508355,-166.9044507663367
3.8861342451086824,-190.44528864834865
3.8861751612580235,-213.0719192339717
3.8862160774073646,-235.69854981959475
3.8862569935567057,-258.3251804052179
3.886297909706047,-280.95181099084095
3.886338825855388,-303.5784415764641
3.887592920139038,-331.98040094792805
