cycle,DOD
1,157.66164017141904
1.3043387165487559,151.422153074858
1.6743821730168058,143.62239128227466
2.0440388244780987,134.2628382999275
2.7103749161250956,121.26312786645337
3.1548138688935197,113.46320490511722
4.1188608807442595,100.98278019321981
5.156723181385226,86.16250752792381
6.343634344631445,72.38177331829806
7.531641455396818,63.02044747966987
8.719777501164446,54.179052037629646
10.354479927237685,46.11658517795448
14.147167486030705,40.129166010799366
18.535986027743597,38.03993546803133
20,33.87694658276578
